ranking,World Rank,University,Rank
205,8102,Macromedia Hochschule der Medien München,3
206,8134,Hochschule für Musik und Theater Leipzig,3
207,8153,Westfälische Hochschule (Fachhochschule Gelsenkirchen),3
208,8153,SRH Hochschule Heidelberg,3
209,8213,Hochschule Ulm,3
210,8239,Hochschule für Gestaltung Offenbach am Main,3
211,8248,Staatliche Akademie der Bildenden Künste Stuttgart,3
212,8268,Steinbeis Hochschule Berlin,3
213,8299,Hochschule Stralsund,3
214,8308,Universität Speyer,3
215,8365,Pädagogische Hochschule Schwäbisch Gmünd,3
216,8406,Bucerius Law School,3
217,8406,Fachhochschule des Mittelstands,3
218,8485,Hochschule Biberach,3
219,8501,Ostbayerische Technische Hochschule Amberg Weiden,3
220,8551,Fachhochschule Lubeck,3
221,8551,Musikhochschule Stuttgart,3
222,8581,International School of Management Dortmund,3
223,8606,Hochschule Schmalkalden,3
224,8617,Hochschule für Musik Detmold,3
225,8702,Graduate School of Neural and Behavioural Sciences International Max Planck Research School,3
226,8715,Berliner Technische Kunsthochschule,3
227,8732,Hochschule Geisenheim University,3
228,8743,Internationale Fachhochschule Bad Honnef Bonn,3
229,8755,Hochschule Hof,3
230,8799,Technische Hochschule Aschaffenburg,3
231,8803,Hochschule fur Musik und Theater München,3
232,8818,Munich Academy of Fine Arts,3
233,8832,Hochschule für Musik Hanns Eisler Berlin,3
234,8832,(1) Hochschule für Musik und Tanz Köln,3
235,8906,Deutsch-Französische Hochschule / Université Franco-Allemande,3
236,9008,Hochschule für angewandte Wissenschaft und Kunst HAWK,3
237,9051,Katholische Hochschule Nordrhein-Westfalen,3
238,9051,Merz Akademie Hochschule für Gestaltung,3
239,9070,Bodelschwinghsche Anstalten Bethel,3
240,9105,Hochschule für Gesundheits- und Medizinberufe Hamburg / Medical School Hamburg,3
241,9105,Munich Business School,3
242,9105,Nordakademie Hochschule der Wirtschaft,3
243,9138,Rheinische Fachhochschule Köln,3
244,9138,Hochschule für Musik und Darstellende Kunst Frankfurt am Main,3
245,9138,Hochschule Albstadt-Sigmaringen,3
246,9198,Filmuniversität Babelsberg Konrad Wolf,3
247,9198,Pädagogische Hochschule Weingarten,3
248,9279,Hochschule für Bildende Künste Dresden,3
249,9289,Hochschule Nordhausen,3
250,9370,Technische Hochschule Bingen,3
251,9395,Mediadesign Hochschule für Design und Informatik,3
252,9441,Hochschule für Musik und Theater Rostock,3
253,9468,Akad Hochschulen Wissenschaftliche Hochschule Lahr,3
254,9496,Musikhochschule Freiburg,3
255,9508,Private Fachhochschule Gottingen Studium Fernstudium,3
256,9603,Hochschule für Musik Dresden Carl Maria Von Weber,3
257,9603,Hochschule Ruhr West,3
258,9623,Hamburg School of Business Administration,3
259,9634,Hochschule für Gestaltung Schwäbisch Gmund,3
260,9644,Karlshochschule International University (Merkur Internationale Hochschule Karlsruhe),3
261,9661,Philosophisch Theologische Hochschule Sankt Georgen,3
262,9796,Europäische Fachhochschule,3
263,9814,Hochschule Ansbach,3
264,9851,Cologne Business School,3
265,9851,Hochschule für Philosophie München,3
266,9922,Hochschule für Fernsehen und Film München,3
267,9959,Technische Fachhochschule Georg Agrícola Bochum,3
268,9959,Robert Schumann Hochschule Düsseldorf,3
269,9975,Hochschule für Telekommunikation Leipzig,3
270,9975,Hochschule für Medien Kommunikation und Wirtschaft,3
271,10032,Fernstudium Informatik Mechatronik und Elektrotechnik / Wilhelm Büchner Hochschule Darmstadt,3
272,10099,Akademie Mode & Design,3
273,10140,Staatlichen Hochschule für Musik und Darstellende Kunst Mannheim,3
274,10140,Hochschule für Gesundheit,2
275,10165,Business and Information Technology School BiTS Germany,2
276,10183,Kunstakademie Düsseldorf,2
277,10249,Musikhochschule Trossingen,2
278,10259,SRH Hohchschule Berlin (Ota Hochschule),2
279,10301,Technische Akademie Esslingen,2
280,10361,HFH Hamburger Fernhochschule,2
281,10376,Muthesius Kunsthochschule,2
282,10387,Hochschule für Musik Würzburg,2
283,10433,Katholische Stiftungsfachhochschule München,2
284,10446,Fachhochschulen der Wirtschaft,2
285,10478,German Film and Television Academy / Deutsche Film und Fernsehakademie Berlin,2
286,10486,Staedelschule Staatliche Hochschule fur Bildende Künste,2
287,10505,(3) Duale Hochschule Baden-Württemberg DHBW Lörrach (Berufsakademie Lorrach),2
288,10505,Evangelische Hochschule fur Soziale Arbeit Dresden,2
289,10591,Popakademie Baden Württemberg University of Popular Music and Music Business,2
290,10617,Diploma Private Hochschulgesellschaft,2
291,10650,Hochschule Kehl,2
292,10655,Fachhochschule für Angewandtes Management,2
293,10673,Musikhochschule Lubeck,2
294,10673,University of Professional Education Heidelberg,2
295,10709,Hochschule für Wirtschaft und Gesellschaft Ludwigshafen,2
296,10716,Evangelische Hochschule Rheinland Westfalen Lippe,2
297,10753,Katholischen Hochschule fur Sozialwesen Berlin,2
298,10779,Fachhochschule Westkuste,2
299,10808,B I B International College,2
300,10824,Hochschule für Schauspielkunst Ernst Busch Berlin,2
